București|București|Stradă|Mincu Ion, arh.|nr. 21-T|011357|1
București|București|Stradă|Mincu Ion, arh.|nr. 14-T|011359|1
București|București|Stradă|Porumbaru Emanoil|nr. 1-25|011421|1
București|București|Stradă|Porumbaru Emanoil|nr. 27-45|011422|1
București|București|Stradă|Porumbaru Emanoil|nr. 47-69|011423|1
București|București|Stradă|Porumbaru Emanoil|nr. 71-T|011424|1
București|București|Stradă|Porumbaru Emanoil|nr. 2-24|011425|1
București|București|Stradă|Porumbaru Emanoil|nr. 26-50|011426|1
București|București|Stradă|Porumbaru Emanoil|nr. 52-72|011427|1
București|București|Stradă|Porumbaru Emanoil|nr. 74-T|011428|1
București|București|Stradă|Popa Savu|nr. 1-33|011431|1
București|București|Stradă|Popa Savu|nr. 35-T|011432|1
București|București|Stradă|Popa Savu|nr. 2-40|011433|1
București|București|Stradă|Popa Savu|nr. 42-T|011434|1
București|București|Stradă|Drăghiceanu Virgil|nr. 1-T|011435|1
București|București|Stradă|Drăghiceanu Virgil|nr. 2-T|011436|1
București|București|Stradă|Cantacuzino Ioan, prof. dr.|nr. 1-T|011437|1
București|București|Stradă|Cantacuzino Ioan, prof. dr.|nr. 2-T|011438|1
București|București|Stradă|Uruguay|nr. 17-T|011444|1
București|București|Stradă|Uruguay|nr. 16-T|011446|1
București|București|Şosea|Kiseleff Pavel Dimitrievici, g-ral.|nr. 9-29|011342|1
București|București|Şosea|Kiseleff Pavel Dimitrievici, g-ral.|nr. 31-55|011343|1
București|București|Şosea|Kiseleff Pavel Dimitrievici, g-ral.|nr. 6-24|011346|1
București|București|Stradă|Docenţilor|nr. 1-5|011401|1
București|București|Stradă|Docenţilor|nr. 2-14|011403|1
București|București|Stradă|Tuberozelor||011411|1
București|București|Stradă|Brătianu Gheorghe|nr. 1-T|011412|1
București|București|Stradă|Brătianu Gheorghe|nr. 2-32|011413|1
București|București|Stradă|Brătianu Gheorghe|nr. 34-T|011414|1
București|București|Stradă|Burcuş Ştefan, arh.||011415|1
București|București|Intrare|Burcuş Ştefan, arh.||011416|1
București|București|Stradă|Alexandrina|nr. 1-T|011441|1
București|București|Stradă|Alexandrina|nr. 2-T|011442|1
București|București|Stradă|Uruguay|nr. 1-15|011443|1
București|București|Stradă|Uruguay|nr. 2-14|011445|1
